"","country","Regions_Report","knowledge_level","trust_level"
"55","Iran",13,72.375,95.25
"56","Iraq",13,58.1720430107527,83.9784946236559
"57","Ireland",15,60.3238866396761,91.7004048582996
"58","Israel",13,45.8248472505092,87.1690427698574
"59","Italy",16,47.1356783919598,93.2663316582915
"60","Ivory Coast",5,63.5428571428571,67.0857142857143
"61","Japan",10,36.8586387434555,92.9842931937173
"62","Jordan",13,60.4077253218884,84.0128755364807
"63","Kazakhstan",9,59.0588235294118,92.1176470588235
"64","Kenya",1,66.3793103448276,76.0775862068966
"65","Kosovo",0,49.678800856531,82.2269807280514
"66","Kuwait",13,60.0243013365735,86.269744835966
"67","Kyrgyzstan",9,55.2401746724891,92.4672489082969
"68","Laos",11,42.4100156494523,78.5602503912363
"69","Latvia",15,51.6548463356974,92.3167848699764
"70","Lebanon",13,62.839248434238,86.4300626304802
"71","Liberia",5,46.27539503386,82.9571106094808
"72","Libya",3,55.8859975216852,89.9628252788104
"73","Lithuania",15,61.4472123368921,89.5610913404508
"74","Luxembourg",17,74.8987854251012,95.8502024291498
"75","Macedonia",16,56.5909090909091,74.8863636363636
"76","Madagascar",1,38.4341637010676,63.4638196915777
"77","Malawi",1,25.4416961130742,69.7290930506478
"78","Malaysia",11,62.0466321243523,73.9637305699482
"79","Mali",5,48.5815602836879,78.9598108747045
"80","Malta",16,63.2368703108253,87.6741693461951
"81","Mauritania",5,50.2631578947368,60.6578947368421
"82","Mauritius",1,60.8376963350785,84.1884816753927
"83","Mexico",6,42.7254098360656,77.4590163934426
"84","Moldova",14,64.8068669527897,70.1716738197425
"85","Mongolia",10,43.5349940688019,85.0533807829182
"86","Montenegro",16,69.3438914027149,72.0588235294118
"87","Morocco",3,56.2064156206416,92.1896792189679
"88","Mozambique",1,43.4447300771208,74.0359897172236
"89","Myanmar",11,35.9137055837563,95.5583756345178
"90","Namibia",4,52.4130190796857,65.2076318742985
"91","Nepal",12,65.8761528326746,94.0711462450593
"92","Netherlands",17,61.5847542627884,85.6569709127382
"93","New Zealand",18,63.469387755102,96.0204081632653
"94","Nicaragua",6,46.0732984293194,70.1570680628272
"95","Niger",5,42.24,78.24
"96","Nigeria",5,42.9946524064171,76.8983957219251
"97","Northern Cyprus,",0,74.6192893401015,94.9238578680203
"98","Norway",15,82.1319796954315,97.5634517766497
"99","Pakistan",12,43.5866983372922,73.8717339667459
"100","Palestinian Territories",13,63.1057268722467,83.5903083700441
"101","Panama",6,46.0103626943005,69.4300518134715
"102","Paraguay",8,41.9047619047619,71.4285714285714
"103","Peru",8,53.238199780461,71.7892425905598
"104","Philippines",11,57.2765072765073,77.1309771309771
"105","Poland",14,68.2952182952183,92.0997920997921
"106","Portugal",16,66.1616161616162,93.5353535353535
"107","Republic of Congo",2,55.4535017221584,61.768082663605
"108","Romania",14,54.7540983606557,82.4043715846994
"109","Russia",14,61.6817155756208,90.3498871331828
"110","Rwanda",1,17.2619047619048,76.3392857142857
"111","Saudi Arabia",13,62.782401902497,90.6064209274673
"112","Senegal",5,45.5294117647059,75.5294117647059
"113","Serbia",16,58.8735387885229,82.4654622741764
"114","Sierra Leone",5,28.2178217821782,62.6237623762376
"115","Singapore",11,64.7629310344828,84.375
"116","Slovakia",14,51.2631578947368,86.4210526315789
"117","Slovenia",16,70.7831325301205,91.1646586345382
"118","South Africa",4,36.734693877551,64.5858343337335
"119","South Korea",10,48.6842105263158,92.4089068825911
